coin,earliest_trade_date,earliest_mention_date,network_date,user1,user1_num_mentions,user1_num_posts,user1_num_subjects,user1_days_since_first_post
SONG,2015-03-22,2014-11-06,2015-03-22,Skele,1,150,3,451
NAN,2013-07-17,2013-07-01,2013-07-17,xcezzz,1,64,3,35
DASH,2014-02-14,2014-01-18,2014-02-14,eduffield,1,157,9,253
THC,2014-06-28,2013-10-30,2014-06-28,Grogorash,1,18,2,273
PHO,2014-05-23,2014-01-08,2014-05-23,rinovma,1,3,2,136
BURST,2014-08-30,2014-08-10,2014-08-30,burstcoin,1,61,1,20
ZEIT,2014-03-20,2014-02-14,2014-03-20,ZEITCOIN,1,182,2,34
SWIFT,2014-10-05,2013-10-21,2014-10-05,MasterRuthless,1,17,1,370
SYS,2014-08-20,2014-04-27,2014-08-20,danosphere,1,341,20,232
MEM,2013-06-09,2013-05-18,2013-06-09,blastbob,1,839,33,63
TRBO,2015-10-30,2015-10-08,2015-10-30,CryptoWiz420,1,56,2,145
LXC,2014-08-05,2014-07-21,2014-08-05,Librexcoindev,1,55,1,15
MZC,2014-02-27,2014-03-05,2014-02-27,crazyearner,1,284,25,492
PHS,2013-12-17,2013-07-28,2013-12-17,johntawaki,1,48,3,146
STEPS,2015-09-19,2015-09-07,2015-09-19,AltcoinSteps,1,107,1,26
SPEC,2015-07-27,2014-01-26,2015-07-27,danosphere,1,453,21,573
EMD,2013-08-04,2013-06-16,2013-08-04,picasso,1,74,3,50
DMD,2013-12-19,2013-07-13,2013-12-19,JohnLuc,1,50,1,165
CRW,2014-11-08,2014-03-22,2014-11-08,fugue,1,73,2,236
CRT,2014-05-11,2015-06-03,2014-05-11,Sohaib Bismal,1,0,0,-388
BELA,2014-03-20,2014-01-29,2014-03-20,twoturtles,1,28,2,50
SYNC,2014-05-20,2013-06-24,2014-05-20,MstCoin,1,48,5,330
DRZ,2015-04-27,2015-04-14,2015-04-27,DRZ,1,28,1,13
CRC,2013-07-07,2013-04-28,2013-07-07,jubalix,1,819,156,127
SKC,2014-03-15,2013-11-01,2014-03-15,Red Kendra,1,34,1,134
SKB,2015-10-14,2015-05-20,2015-10-14,SkullBuzz,1,23,1,147
GRS,2014-04-11,2014-03-22,2014-04-11,gruve_p,1,9,1,20
PR,2015-10-12,2014-07-29,2015-10-12,BitsendInc,1,110,1,440
ACOIN,2014-09-13,2014-08-29,2014-09-13,A-Coin,1,72,1,15
XDN,2014-06-24,2014-05-30,2014-06-24,dNote,1,24,1,25
BUK,2014-10-04,2013-08-31,2014-10-04,CryptoBuck,1,114,6,411
